Disease,S1,S2,S3,S4,S5,S6
Marchiafava-bignami disease,Excitement,Mental changes,Dementia,Speaking difficulty,Demyelination of corpus callosum,Convulsions
Herbal agent overdose -- ajuga nipponensis makino,Nausea,Hyponatremia,Diarrhea,Reduced urination,Anorexia,
Herbal agent overdose -- arnica flower,Nausea,Diarrhea,Abdominal pain,Mucous membrane irritation,,
Perirectal abscess,Painful anal swelling,Anal pain when coughing,Anal pain when sitting,Anal tenderness,Malaise,Anal pain
Craniosynostosis fontaine type,Premature fusion of sagittal skull bones,Webbed fingers,Seizures,Brain malformations,Abnormal skull shape,
Osteoporosis -- macrocephaly -- mental retardation -- blindness,Large head,Short fingers,Wormian bones,Blindness,Osteoporosis,Hyperextensible joints
Melhem-fahl syndrome,High arched palate,Abnormal number of ribs,Hirschsprung's disease,Small fingernails,Simian creases,Undescended testicles
Metaphyseal chondrodysplasia spahr type,Short statures,Osteoporosis,Bowed legs,Abnormal curvature of the spine,,
"Periadenitis mucosa necrotica, recurrent type ii",Burning mouth sensation preceding ulcer development,Tingling mouth sensation preceding ulcer development,Recurring painful inflammation in mouth,Recurring painful ulcer in mouth,,
Sialadenitis,Salivary fistula,Red salivary gland,Tender salivary gland,Enlarged salivary glands,,
"Macrogyria, pseudobulbar palsy and mental retardation",Speech defects,Increased reflexes,Swallowing difficulties,Mental retardation,Ataxia,Seizures
Oxprenolol -- teratogenic agent,Oral clefts,Limb reduction defects,Bradycardia,Retarded fetal growth,Heart defect,Hypospadias
Red spider lily poisoning,Nausea,Increased salivation,Shivering,Diarrhea,Abdominal pain,
Dominant cleft palate,Choking,Weak sucking,Opening in roof of mouth,Ingested liquid leaking from nose,Feeding problems,Swallowing difficulties
Muller-barth-menger syndrome,Distinctive face,Mental retardation,Cerebral malformations,Overlapping fingers,Seizures,Excessive hair growth
"Congenital ichthyosis, microcephalus, quadriplegia",Small head,Spastic quadriplegia,Loss of sensation,Brisk reflexes,Scaly skin,Increased muscle tone
Teratoma,Tenderness,Swelling,Lumps,Inflammation,,
Ackerman dermatitis syndrome,Skin-colored skin bumps,Skin lesions,Bumpy skin rash,Arthritis,Joint pain,Muscle pain
Limb reduction defect,Missing bones in legs,Short leg bones,Short arm bones,Missing arm bones,,
Dup(1) (p31.4-p22.1),Small head,Umbilical hernia,Droopy right eyelid,Undescended testicles,Weak face muscles,Mental retardation
Dup(1) (p31-p11),Small head,Small birth size,Cleft palate,Infant death,Disproportionate arms,Weak face muscles
Nail conditions,Nail inflammation,Movement pain,Brittle nails,Nail swelling,Nail infection,Nail pain
Chemical poisoning -- quinone,Conjunctivitis,Throat irritation,Nose irritation,Skin irritation,Eye irritation,Impaired vision
Richter syndrome,Enlarged liver,Muscle mass loss,Night sweats,Enlarge lymph nodes,Increased serum lactate dehydrogenase,Fever
Suicide,Drug abuse,Suicidal thoughts,Alcohol abuse,Depression,,
Kasznica-carlson-coppedge syndrome,Ventricular septal defects,Congenital heart anomalies,High arched palate,Foot anomalies,Ectrodactyly,Myelomeningocele
Cardiomyopathy dilated with conduction defect type 2,Abnormal heart rhythm,Fainting,Palpitations,Shortness of breath,Heart dysfunction,
Rot-bernhardt syndrome,Sensitivity to touch in outer thigh,Tingling in outer thigh,Numbness in outer thigh,Burning pain in outer thigh,Heaviness in outer thigh,Itching in outer thigh
Cerebro-oculo-dento-auriculo-skeletal syndrome,Bone abnormalities,Psychomotor delays,Abnormal ear shape,Groove on nasal tip,Developmental delay,Cataract
Pectus excavatum macrocephaly dysplastic nails,Short statures,Large head,Sunken  chest,Mental retardation,Abnormal nails,Broad forehead
Spinal atrophy -- ophthalmoplegia -- pyramidal syndrome,Spasticity,Increased deep tendon reflexes,Weak muscles,Eye muscle paralysis,Weak eye muscles,Positive babinski reflex
Syndactyly type 5,Short fingers,Irregular finger lengths,Camptodactyly,Irregular toe lengths,Simian creases,Webbed toes
"Syndactyly, type 2",Webbed toes,Extra fingers,Delayed bone age,Extra toes,,
"Ichthyosis vulgaris, sex-linked, recessive",Large brownish scales,Skin lesions,Scaly back of neck,Alopecia,Corneal opacities,
Low-level radiation exposure,Absence of menstruation,Reduced fertility,Hematologic abnormalities,Cataract,,
"Pemphigus vulgaris, familial",Rectal blisters,Mouth blisters,Mucus membrane blisters,Eyelid lining blisters,Skin blisters,Scalp blisters
Penbutolol -- teratogenic agent,Oral clefts,Limb reduction defects,Bradycardia,Retarded fetal growth,Heart defect,Hypospadias
Titubation,Stumbling walk,Head tremor,Bobbing head motion,Bobbing trunk motion,Staggering walk,
Plant poisoning -- cytisine,Nausea,Reduced blood pressure,Dizziness,Headaches,Convulsions,Heart pain
Xanthogranulomatous sialadenitis,Salivary fistula,Red salivary gland,Tender salivary gland,Painful jaw lump,Enlarged salivary glands,
Spring catarrh,Eyelids swelling,Swelling of conjunctiva,Red eyes,Itchy eyes,Tearing eyes,
Yarrow poisoning,Skin irritation on exposure to sunlight,Skin redness on exposure to sunlight,Skin swelling on exposure to sunlight,Skin pain on exposure to sunlight,Skin itching on exposure to sunlight,
"Microcephaly, primary autosomal recessive",Small brain,Small head,Progressive brain wasting,Mental retardation,Delayed speech development,
Leukeran -- teratogenic agent,Kidney agenesis in males,Ureter agenesis in males,Retarded fetal growth,Heart defect,,
Phenylephrine -- teratogenic agent,Musculoskeletal defects,Webbed digits,Ear anomalies,Eye anomalies,Ear pain,Clubfoot
Neuronal intranuclear hyaline inclusion disease,Eeg abnormalities,Reduced muscle tone,Weak eye muscles,Reduced reflexes,Ataxia,Seizures
Brain stem neoplasms,Paralyzed facial muscles,Increased pressure inside skull,Headaches,Eye muscle paralysis,Impaired motor functioning,Abnormal gait
Micrognathia with peromelia,Epicanthus,Small  mouth,Some teeth missing,Small jaw,Missing or underdeveloped tongue,Missing fingers
Kniest-like dysplasia lethal,Encephalocele,Underdeveloped orbitals,Occipital defects,Ear abnormalities,Severe microcampomelia,Small jaw
Creeping spurge poisoning,Nausea,Red skin,Skin swelling,Abdominal pain,Skin blistering,
False jessamine poisoning,Nausea,Headaches,Dilated pupils,Loss of sensation,Diarrhea,Abdominal pain
Autosensitization dermatitis,Red skin,Skin blisters,Skin bumps,Itching,Tender skin,
Alport syndrome with macrothrombocytopenia,Renal damage,Cough,Hearing loss,Kidney dysfunction,Macrothrombocytopenia,Swelling in feet
Neuropathic pain,Numbness,Tingling,Burning pain,Shooting pain,,
Morton's neuroma,Sharp,Painful swelling/lump at base of affected toes,Severe pain in corresponding toes,Numbness or tingling in affected toes,,
Deafness -- craniofacial syndrome,Short tongue frenulum,Small nostrils,Lack of hair at temples,Deep set eyes,Asymmetrical face,Deafness at birth
Periosteal chondrosarcoma,Bone pain,Bone lumps,Bone mass,Localized swelling,,
Facial fracture,Facial pain,Facial swelling,Double vision,Facial bleeding,Cheek numbness,Misshapen face
Fetal development toxicity,Neurological defects,Adverse effects on fetal development,Mental functioning defects,Physical defects,,
Spinal muscular atrophy -- dandy-walker complex -- cataracts,Dandy walker malformations,Weakness in the legs,Wasted lower leg muscles,Cataract,,
Sacral agenesis,Short statures,Abnormal placement of urethral opening in males,Urethral anomalies,Dislocated hips,Gastrointestinal tract abnormalities,Clubfoot
"Ophthalmoplegia, progressive external -- scoliosis",Kyphosis,Progressive scoliosis,Weak eye muscles,Mental retardation,Short neck,Nystagmus
Ophthalmoplegia,Eye pain,Vision field loss,Difficulty moving eyes,Headaches,Vision difficulties,Weak eye muscles
Alveolar capillary dysplasia,Breathing difficulties,Infant death,Low blood oxygenation,Cyanosis,Pulmonary hypertension,
Rhnull syndrome,Spheroctyosis,Abnormal red blood cell shape,Hemolytic anemia,Stomatocytosis,Abnormal red blood cell function,
Poison sumac poisoning,Itchy skin,Red skin,Skin pain,Skin swelling,Skin irritation,Skin blistering
Dysautonomia,Symptoms of generalized dysautonomia,Symptoms of autonomic neuropathy,Types of autonomic neuropathy,Orthostatic hypotension,Hypertension,Impotence
Immunodeficiency due to interleukin-1 receptor-associated kinase-4 deficiency,Pneumococcal infections,Septicemia,Susceptibility to pyogenic bacterial infection,Poor inflammatory response to infection,Systemic shigellosis,Arthritis
Immunodeficiency due to defect in mapbp-interacting protein,Short statures,Low peripheral neutrophil counts,Low igg in adolescence,Bronchopulmonary dysplasia,Coarse face,
Microcephaly,Hyperactivity,Large face,Spastic quadriplegia,Loose scalp,Convulsions,Small head circumference
Pearson's marrow-pancreas syndrome,Severe refractory anemia,Malabsorption,Insufficiently pancreatic exocrine,Pancreatic fibrosis,Sideroblastic anemia,Spleen aplasia
Inflammatory glaucoma,Recurrent episodes of mild cyclitis,Signs of a slight decrease in vision,Uniocular involvement,Blurred vision,Haloes in vision,
Levator syndrome,Pressure in rectal area,Discomfort in tailbone area,Rectal burning,Pressure in tailbone area,Discomfort in rectal area,Pain in tailbone area
"Neuropathy, hereditary sensory, type ii",Loss of sense of pain,Muscle wasting,Inflammation of digits,Loss of sense of touch,Abnormal muscle development,
Panuveitis,Sensitivity to light,Eye pain,Reduced vision,Seeing spots,Visual disturbances,Blurred vision
Bickerstaff's brainstem encephalitis,Facial paralysis,Dizziness,Limb weakness,Ophthalmoplegia,Babinski's sign,Ataxia
Cystinuria -- lysinuria,Spasticity,Progressive loss of intellectual ability,Progressive loss of motor ability,High cystine level in urine,High lysine level in urine,Ataxia
"Marphanoid syndrome, type de silva",Tall build,Slight build,Visceral diverticula,Diaphragmatic hernia,,
Cluttering,Repeating words,Fast talking,Disordered speech,Repeating part of sentence,Talking in spurts,Difficulty finding words
Neurofibroma,"Painless, slow-growing mass",Electric shock-like sensation when touching affected area,"Surgery, regular monitoring",Skin lumps,,
Empty sella syndrome -- primary,Thick hair growth in women,Headaches,Empty sella turcica,Impaired vision,Reduced male libido,Enlarged male breasts
"Ehlers-danlos, syndrome, periodontitis type",Poor wound healing,Hyperextensible skin,Easily bruised skin,Severe periodontitis,Alveolar bone absorption,Premature tooth loss
Lambdoid synostosis familial,Flat back of skull,Reduced muscle tone,Premature fusion of sagittal skull bones,Ear anomalies,Ear pain,Prominent forehead
Lafora disease,Involuntary muscle contractions,Progressive seizures,Dementia,Speaking difficulty,Impaired ability to control voluntary movements,Vision problems
Speech impairment,Hepatosplenomegaly,Fever,Increased sweating,Painless adenopathy,,
Spasticity -- multiple exostoses,Spasticity,Weak legs,Weak arms,Multiple bone outgrowths,Increased muscle tone,Abnormal walk
Congenital disorder of glycosylation type 2g,Enlarged liver,Small head,Psychomotor retardation,Reduced muscle tone,Failure to thrive,Mental retardation
Idiopathic acute eosinophilic pneumonia,Cough,Chest pain,Chills,Muscle pain,Low blood oxygenation,Fever
Gluteal muscle strain,Muscle inflammation,Muscle swelling,Reduce ability to move the affected body part,Muscle stiffening,Muscle pain,Bruising
Legg-calve-perthes disease,Limp,Thigh muscle atrophy,Progressive gait abnormality,Hip stiffness,Typically one hip affected,Lopsided walking
Penicillamine -- teratogenic agent,Hydrocephaly,Retarded fetal growth,Loose skin,Clubfoot,Bleeding inside skull,
Epispadias,Reflux nephropathy,Bladder extrosphy,Widened penis,Enlarged pubic bone,Urinary incontinence,Urinary tract infections
Mullerian aplasia,Absence of menstruation,Absence of upper part of vagina,Absence of cervix,Absence of uterus,,
Doyne syndrome,Small white retinal spots,Merging of white retinal spots,Nodular thickening of bruch membrane,White atrophic area,,
Kidney disease-induced hypertension,Swollen feet or ankles,Impaired circulation in legs,Different sized kidneys,Calf pain when walking,Impaired kidney function,Increased blood pressure
"Myopathy, hyaline body, autosomal dominant",Winged shoulder blades,Muscle wasting,Enlarged calf muscles,Muscle weakness,Waddling walk,Increased creatine kinase level
Myopathy -- growth and mental retardation -- hypospadias,Short statures,Abnormally placed urethral opening,Adrenal gland anomaly,Mental retardation,Seizures,Retarded growth
Serratia ear infection,Impaired hearing,Ear discharge,Ear anomalies,Ear pain,,
Robin sequence oligodactyly,Horseshoe-shaped cleft palate,Breathing difficulties,Glossoptosis,Curved fifth finger,Small jaw,Hand bone anomalies
Chemical poisoning -- hexachlorobenzene,Hair loss,Discolored skin lesions,Liver damage,Porphyria,Light sensitive skin,Thyroid problems
Osteopaenia -- myopia -- hearing loss -- intellectual deficit -- facial dysmorphism,Underdeveloped enamel,Myopia,Sloping shoulders,Intellectual deficits,Weak face muscles,Frequent fractures
Broken collarbone,Bruised shoulder,Numb shoulder,Shoulder weakness,Shoulder swelling,Difficulty moving shoulder,Tingling shoulder
Eaf,Breathing difficulties,Nasal obstruction,Increased nose size,Nasal mass,,
Norgestrel -- teratogenic agent,Kidney malformations,Limb reduction defects,Heart defect,Vertebral malformations,,
Phenylpropanolamine -- teratogenic agent,Gastroschisis,Extra digits,Small intestinal atresia,Ear anomalies,Hypospadias,Eye anomalies
Secondary melanoma,Liver,Bones,Lungs,Lymph nodes,Brain,
Moon jellyfish poisoning,Localized pain,Wheals,Urticaria,Localized swelling,,
"Nephronophthisis familial, adult -- spastic quadriparesis",Spasticity,Abnormal kidney development,Weak legs,Weak arms,Kidney failure,Underdeveloped brain - cerebellum
Clomocycline -- teratogenic agent,Underdeveloped limbs,Extra digits,Limb reduction defects,Heart defect,Hypospadias,Clubfoot
Vocal nodules,Sensation of something in throat,Breathy voice,Sore neck,Vocal cord nodule,Hoarseness,
Kersting-hellwig syndrome,Blue skin over nodule,Normal skin color over nodule,Painful skin nodules,Yellow skin over nodule,,
Circadian rhythm sleep disorder,Altered sleep-wake cycle,Insomnia,Excessive sleepiness,Impaired functioning,Depressed mood,
Lindane -- teratogenic agent,Oral clefts,Absent skull,Heart defect,Hypospadias,,
Pulmonary artery coming from the aorta,Infants tire easily during feeding,Shortness of breath with activity,Enlarged heart,Heart murmurs,Failure to thrive,Cyanosis
"Pulmonary artery, isolated unilateral absence of (isolated uapa)",Small lung lobe,Enlarged bronchial arteries,Hemoptysis,Infant pulmonary hypertension,Reduced exercise tolerance,Frequent lung infections
Caustic or corrosive substance ingestion,Stridor,Hoarsenessr,Breathing difficulties,Melena,Crying,Refusing to swallow
Demeclocycline -- teratogenic agent,Underdeveloped limbs,Extra digits,Limb reduction defects,Heart defect,Hypospadias,Clubfoot
